source,target,weight,typetrans,fraud
C1738944491,M348934600,49.07,es_transportation,0
C1950723662,M348934600,35.74,es_transportation,0
C1987405562,M1823072687,47.53,es_transportation,0
C1988407051,M348934600,29.87,es_transportation,0
C1698653726,M348934600,20.31,es_transportation,0
C1952040134,M348934600,10.59,es_transportation,0
C1769470125,M348934600,21.92,es_transportation,0
C583110837,M480139044,44.26,es_health,1
C1332295774,M480139044,324.5,es_health,1
C603564532,M1823072687,26.07,es_transportation,0
C2072009750,M348934600,10.88,es_transportation,0
C545248492,M348934600,8.05,es_transportation,0
C1055224400,M348934600,25.59,es_transportation,0
C1619755203,M348934600,15.26,es_transportation,0
C1697851479,M348934600,20.73,es_transportation,0
C1255236689,M348934600,68.17,es_transportation,0
C603081336,M348934600,34.75,es_transportation,0
C274486575,M692898500,171.07,es_health,0
C1569939854,M348934600,50.31,es_transportation,0
C648063518,M348934600,17.87,es_transportation,0
C1488142454,M348934600,5.96,es_transportation,0
C384665757,M1823072687,13.08,es_transportation,0
C131559770,M348934600,51.99,es_transportation,0
C1547534233,M348934600,9.54,es_transportation,0
C76969430,M1823072687,61.33,es_transportation,0
C896887653,M348934600,47.72,es_transportation,0
C281893917,M348934600,1.72,es_transportation,0
C120661238,M348934600,8.14,es_transportation,0
C1617276678,M348934600,43.76,es_transportation,0
C1499019507,M348934600,52.36,es_transportation,0
C83086349,M1823072687,14.2,es_transportation,0
C2006367089,M1823072687,2.06,es_transportation,0
C870367228,M348934600,45.32,es_transportation,0
C966335674,M348934600,10.38,es_transportation,0
C694265356,M348934600,2.46,es_transportation,0
C400803731,M348934600,40.15,es_transportation,0
C477595630,M348934600,4.96,es_transportation,0
C1721541488,M348934600,43.55,es_transportation,0
C949023995,M348934600,8.56,es_transportation,0
C439601438,M348934600,28.06,es_transportation,0
C1482560016,M348934600,7.89,es_transportation,0
C13098029,M348934600,44.59,es_transportation,0
C672742304,M348934600,10.84,es_transportation,0
C916497516,M348934600,13.35,es_transportation,0
C1403689550,M348934600,10.49,es_transportation,0
C869565327,M348934600,6.19,es_transportation,0
C1085056650,M348875670,114.54,es_hotelservices,0
C1035681921,M348934600,23.97,es_transportation,0
C1476505660,M348934600,7.75,es_transportation,0
C948004275,M151143676,36.41,es_barsandrestaurants,0
C650108285,M1053599405,11.83,es_health,0
C2041218422,M1823072687,4.23,es_transportation,0
C2081956948,M348934600,11.23,es_transportation,0
C1305339250,M348934600,20.55,es_transportation,0
C1459810780,M348934600,43.78,es_transportation,0
C433481742,M348934600,10.96,es_transportation,0
C288684762,M348934600,33.27,es_transportation,0
C1817842389,M692898500,109.26,es_health,0
C206074131,M348934600,38.38,es_transportation,0
C1502804084,M348934600,1.01,es_transportation,0
C2134043204,M348934600,31.73,es_transportation,0
C662187574,M348934600,13.33,es_transportation,0
C2039473569,M348934600,68.39,es_transportation,0
C370861553,M348934600,2.46,es_transportation,0
C1187730955,M1823072687,33.71,es_transportation,0
C426128777,M348934600,39.96,es_transportation,0
C779868884,M348934600,17.56,es_transportation,0
C2092526272,M840466850,163.56,es_tech,0
C1450354557,M348934600,23.24,es_transportation,0
C1313060996,M348934600,26.46,es_transportation,0
C1091966081,M348934600,13.56,es_transportation,0
C564600361,M348934600,25.53,es_transportation,0
C661876608,M1741626453,11.83,es_sportsandtoys,0
C1871594117,M348934600,24.15,es_transportation,0
C759167881,M348934600,2.63,es_transportation,0
C359668643,M348934600,31.2,es_transportation,0
C1536083561,M348934600,4.15,es_transportation,0
C2043927860,M348934600,29.95,es_transportation,0
C1159406873,M348934600,58.95,es_transportation,0
C1463833315,M1053599405,7.94,es_health,0
C1206604144,M348934600,37.8,es_transportation,0
C673469784,M348934600,55.19,es_transportation,0
C994739890,M348934600,32.95,es_transportation,0
C409331076,M1823072687,50.9,es_transportation,0
C1229072215,M348934600,15.69,es_transportation,0
C1070277785,M348934600,14.36,es_transportation,0
C1324001180,M1823072687,50.57,es_transportation,0
C1424475955,M348934600,37.73,es_transportation,0
C1423644375,M348934600,30.98,es_transportation,0
C2042503226,M348934600,10.37,es_transportation,0
C2038427935,M348934600,64.69,es_transportation,0
C1549232957,M1823072687,44.5,es_transportation,0
C1314685160,M348934600,5.5,es_transportation,0
C276142295,M348934600,30.86,es_transportation,0
C2035341190,M348934600,61.83,es_transportation,0
C1846578588,M348934600,55.55,es_transportation,0
C2029028090,M348934600,73.36,es_transportation,0
C1568358546,M348934600,47.14,es_transportation,0
C1818841328,M348934600,14.55,es_transportation,0
C142251484,M348934600,44.22,es_transportation,0
C413843100,M348934600,38.2,es_transportation,0
C1368210201,M348934600,12.55,es_transportation,0
C747590731,M348934600,0.1,es_transportation,0
C1032715879,M85975013,36.55,es_food,0
C441989517,M348934600,15.04,es_transportation,0
C1506293914,M1823072687,54.45,es_transportation,0
C1800696439,M348934600,66.57,es_transportation,0
C1385780363,M348934600,56.93,es_transportation,0
C947010068,M348934600,3.5,es_transportation,0
C1939799337,M348934600,11.78,es_transportation,0
C1842441894,M1535107174,52.38,es_wellnessandbeauty,0
C207576555,M348934600,31.98,es_transportation,0
C334817037,M348934600,27.98,es_transportation,0
C1436756684,M692898500,187.62,es_health,0
C1419246450,M1823072687,19.23,es_transportation,0
C1025104996,M1823072687,47.82,es_transportation,0
C1325638360,M348934600,28.6,es_transportation,0
C655150548,M348934600,7.06,es_transportation,0
C75274383,M85975013,49.59,es_food,0
C357634845,M1823072687,12.16,es_transportation,0
C1394428191,M348934600,20.96,es_transportation,0
C602096181,M85975013,36.9,es_food,0
C1815496848,M348934600,11.06,es_transportation,0
C326482046,M1823072687,9.59,es_transportation,0
C524644424,M348934600,41.33,es_transportation,0
C411345215,M348934600,25.23,es_transportation,0
C447271561,M855959430,2.09,es_hyper,0
C1808964355,M348934600,3.62,es_transportation,0
C1730375460,M348934600,24.29,es_transportation,0
C982406682,M1823072687,22.84,es_transportation,0
C665566426,M85975013,40.69,es_food,0
C395508885,M348934600,5.31,es_transportation,0
C369046885,M348934600,41.67,es_transportation,0
C1445784416,M348934600,30.57,es_transportation,0
C236999052,M1823072687,8.71,es_transportation,0
C1316262830,M348934600,3.03,es_transportation,0
C1935421495,M348934600,13.72,es_transportation,0
C1960866892,M855959430,22.65,es_hyper,0
C677561666,M348934600,19.73,es_transportation,0
C1916796804,M348934600,33.12,es_transportation,0
C1956819896,M348934600,6.09,es_transportation,0
C626836922,M348934600,37.25,es_transportation,0
C526635102,M348934600,19.97,es_transportation,0
C1778762788,M349281107,15.31,es_fashion,0
C427983732,M348934600,19.19,es_transportation,0
C2132111174,M348934600,48.26,es_transportation,0
C991774315,M349281107,79.71,es_fashion,0
C720418898,M348934600,16.47,es_transportation,0
C956954767,M348934600,54.54,es_transportation,0
C1711634686,M348934600,44.5,es_transportation,0
C1711699171,M348934600,35.39,es_transportation,0
C1937615372,M85975013,22.42,es_food,0
C564451627,M348934600,67.88,es_transportation,0
C897057254,M348934600,4.02,es_transportation,0
C1196357413,M1823072687,11.95,es_transportation,0
C203427830,M348934600,16.6,es_transportation,0
C1320820565,M348934600,61.9,es_transportation,0
C1803181641,M348934600,48.24,es_transportation,0
C1723897078,M348934600,41.98,es_transportation,0
C170769685,M348934600,5.67,es_transportation,0
C1710930627,M1823072687,17.37,es_transportation,0
C1468082478,M1823072687,14.87,es_transportation,0
C998690782,M85975013,46.88,es_food,0
C2126019044,M348934600,2.81,es_transportation,0
C296630818,M348934600,18.25,es_transportation,0
C1050458046,M348934600,8.6,es_transportation,0
C1275741147,M348934600,20.37,es_transportation,0
C1264836741,M348934600,25.95,es_transportation,0
C1807259356,M348934600,62.76,es_transportation,0
C108794529,M348934600,17.36,es_transportation,0
C495652708,M1823072687,71.65,es_transportation,0
C1437990673,M348934600,6.34,es_transportation,0
C1959067413,M209847108,86.09,es_wellnessandbeauty,0
C1514973352,M348934600,28.82,es_transportation,0
C741680636,M348934600,19.55,es_transportation,0
C1465698425,M2122776122,98.19,es_home,0
C1452020181,M348934600,10.41,es_transportation,0
C1760986787,M85975013,30.92,es_food,0
C1426006139,M348934600,22.68,es_transportation,0
C179748485,M348934600,50.9,es_transportation,0
C936853935,M1823072687,49.54,es_transportation,0
C1660043980,M1823072687,38.58,es_transportation,0
C1951890364,M348934600,1.95,es_transportation,0
C386205251,M1823072687,16.4,es_transportation,0
C1935661715,M348934600,4.19,es_transportation,0
C294914134,M1823072687,62.11,es_transportation,0
C1999090638,M348934600,15.84,es_transportation,0
C1890250226,M348934600,31.45,es_transportation,0
C1426420214,M348934600,26.7,es_transportation,0
C1687751654,M348934600,51.36,es_transportation,0
C1522289895,M348934600,21.61,es_transportation,0
C873821675,M348934600,17.76,es_transportation,0
C1637357651,M151143676,23.56,es_barsandrestaurants,0
C72452640,M348934600,15.87,es_transportation,0
C800967034,M1823072687,1.21,es_transportation,0
C1223439629,M348934600,46.29,es_transportation,0
C1915603015,M348934600,21.5,es_transportation,0
C1896250849,M1823072687,31.51,es_transportation,0
C1680004438,M348934600,44.31,es_transportation,0
C1276892406,M348934600,38.26,es_transportation,0
C1439470393,M1823072687,15.49,es_transportation,0
C181787207,M1873032707,71.76,es_hotelservices,0
C2063978670,M2011752106,194.59,es_hotelservices,0
C766302474,M348934600,44.57,es_transportation,0
C1913127981,M348934600,21.21,es_transportation,0
C1732752834,M348934600,24.87,es_transportation,0
C1095604325,M348934600,19.38,es_transportation,0
C245019752,M348934600,55.7,es_transportation,0
C954150626,M348934600,16.78,es_transportation,0
C1658315324,M348934600,31.9,es_transportation,0
C1060470494,M1823072687,31.59,es_transportation,0
C1053477622,M348934600,8.66,es_transportation,0
C1571595392,M348934600,6.21,es_transportation,0
C1633477199,M348934600,57.17,es_transportation,0
C1990073844,M1823072687,24.57,es_transportation,0
C1004300450,M348934600,4.2,es_transportation,0
C756645719,M348934600,26.52,es_transportation,0
C1057285507,M348934600,31.93,es_transportation,0
C2144562698,M1535107174,55.3,es_wellnessandbeauty,0
C1475486134,M348934600,31.14,es_transportation,0
C1813956515,M1823072687,14.36,es_transportation,0
C1600642825,M1823072687,26.93,es_transportation,0
C1936855292,M348934600,19.42,es_transportation,0
C1128349548,M348934600,36.62,es_transportation,0
C956414645,M348934600,1.18,es_transportation,0
C1807153148,M348934600,11.41,es_transportation,0
C696052681,M348934600,16.1,es_transportation,0
C173276320,M1823072687,35.61,es_transportation,0
C1161671147,M348934600,27.32,es_transportation,0
C295362058,M348934600,3.3,es_transportation,0
C822689044,M348934600,28.13,es_transportation,0
C1353776547,M857378720,49.0,es_hotelservices,0
C105013970,M348934600,79.35,es_transportation,0
C777971561,M1198415165,122.26,es_wellnessandbeauty,0
C23049140,M348934600,17.51,es_transportation,0
C1991820533,M348934600,15.72,es_transportation,0
C1580025618,M348934600,61.93,es_transportation,0
C713872230,M1823072687,18.81,es_transportation,0
C130295904,M348934600,38.88,es_transportation,0
C1435043122,M1823072687,33.02,es_transportation,0
C1963617384,M348934600,51.86,es_transportation,0
C5191822,M1748431652,45.19,es_wellnessandbeauty,0
C1350793893,M209847108,60.71,es_wellnessandbeauty,0
C359698649,M348934600,38.78,es_transportation,0
C241071592,M348934600,38.92,es_transportation,0
C177123752,M348934600,11.73,es_transportation,0
C1867965524,M348934600,47.16,es_transportation,0
C417912401,M348934600,40.66,es_transportation,0
C862785719,M348934600,33.62,es_transportation,0
C1373973501,M1823072687,6.58,es_transportation,0
C161101673,M1823072687,26.27,es_transportation,0
C1714676783,M348934600,44.36,es_transportation,0
C679458582,M348934600,23.72,es_transportation,0
C656405809,M348934600,59.78,es_transportation,0
C757950779,M348934600,36.68,es_transportation,0
C278501873,M348934600,29.92,es_transportation,0
C812882942,M348934600,31.64,es_transportation,0
C1359606474,M348934600,20.33,es_transportation,0
C456338836,M348934600,29.03,es_transportation,0
C210563051,M348934600,2.66,es_transportation,0
C1891401770,M480139044,266.59,es_health,0
C450548035,M348934600,20.5,es_transportation,0
C1378412230,M348934600,47.86,es_transportation,0
C253956131,M1535107174,37.43,es_wellnessandbeauty,0
C131296547,M348934600,26.79,es_transportation,0
C1082594377,M980657600,88.2,es_sportsandtoys,0
C1076053396,M348934600,42.58,es_transportation,0
C2127479268,M348934600,18.48,es_transportation,0
C1535613790,M1823072687,35.89,es_transportation,0
C227186054,M348934600,46.19,es_transportation,0
C1701338775,M348934600,60.05,es_transportation,0
C74848504,M1823072687,29.1,es_transportation,0
C1902104464,M348934600,44.51,es_transportation,0
C64700533,M348934600,12.53,es_transportation,0
C1996249538,M85975013,35.23,es_food,0
C2704357,M348934600,3.92,es_transportation,0
C77017704,M348934600,23.03,es_transportation,0
C1988025089,M348934600,28.91,es_transportation,0
C1559091388,M348934600,48.62,es_transportation,0
C1807567788,M1823072687,24.31,es_transportation,0
C1216409727,M348934600,30.78,es_transportation,0
C1862556322,M348934600,14.35,es_transportation,0
C251602943,M348934600,22.14,es_transportation,0
C566582492,M348934600,28.63,es_transportation,0
C1693925346,M348934600,88.54,es_transportation,0
C286580355,M348934600,18.53,es_transportation,0
C1214229415,M348934600,98.35,es_transportation,0
C344259725,M348934600,16.1,es_transportation,0
C1022530210,M348934600,37.95,es_transportation,0
C1658591237,M348934600,25.28,es_transportation,0
C324333692,M348934600,12.27,es_transportation,0
C1266329800,M348934600,55.1,es_transportation,0
C1952109278,M348934600,0.61,es_transportation,0
C1457092141,M348934600,4.39,es_transportation,0
C2038018161,M348934600,20.93,es_transportation,0
C1390331883,M151143676,49.65,es_barsandrestaurants,0
C2131498052,M1352454843,71.0,es_hotelservices,0
C106333716,M348934600,42.8,es_transportation,0
C1635987808,M348934600,5.35,es_transportation,0
C2038979642,M1823072687,32.86,es_transportation,0
C1525483242,M1823072687,46.0,es_transportation,0
C1615196201,M348934600,31.74,es_transportation,0
C1129111658,M348934600,25.88,es_transportation,0
C529768403,M348934600,6.28,es_transportation,0
C1360225709,M855959430,61.75,es_hyper,0
C193924578,M1823072687,52.47,es_transportation,0
C344248234,M348934600,16.91,es_transportation,0
C612357573,M348934600,2.53,es_transportation,0
C823891015,M348934600,50.36,es_transportation,0
C1452354279,M348934600,8.02,es_transportation,0
C601235628,M1823072687,19.46,es_transportation,0
C1763371495,M348934600,15.97,es_transportation,0
C381250974,M348934600,32.55,es_transportation,0
C1459624061,M348934600,35.56,es_transportation,0
C1457264318,M1823072687,9.17,es_transportation,0
C2057462116,M348934600,10.42,es_transportation,0
C1296664552,M855959430,49.3,es_hyper,0
C1939349733,M348934600,29.36,es_transportation,0
C1784864427,M348934600,36.9,es_transportation,0
C448612141,M348934600,26.78,es_transportation,0
C1519265307,M348934600,23.05,es_transportation,0
C734817849,M348934600,31.42,es_transportation,0
C742784538,M1823072687,16.17,es_transportation,0
C1230747575,M855959430,15.26,es_hyper,0
C752270622,M348934600,13.96,es_transportation,0
C1920284556,M348934600,17.37,es_transportation,0
C965952231,M348934600,2.04,es_transportation,0
C837031785,M348934600,6.43,es_transportation,0
C1667929755,M1823072687,12.85,es_transportation,0
C33469777,M348934600,10.28,es_transportation,0
C1807765388,M348934600,23.67,es_transportation,0
C1918953803,M348934600,11.44,es_transportation,0
C1352750459,M348934600,11.76,es_transportation,0
C1051712338,M348934600,23.93,es_transportation,0
C399061526,M1823072687,2.1,es_transportation,0
C1108967401,M348934600,9.25,es_transportation,0
C1782998558,M348934600,21.04,es_transportation,0
C1089903335,M348934600,12.82,es_transportation,0
C1591441443,M85975013,19.05,es_food,0
C1080719046,M348934600,10.88,es_transportation,0
C151715772,M348934600,25.22,es_transportation,0
C1731135780,M348934600,13.44,es_transportation,0
C1556912476,M348934600,42.69,es_transportation,0
C108266856,M1823072687,55.84,es_transportation,0
C1656440641,M348934600,41.79,es_transportation,0
C138375181,M855959430,69.65,es_hyper,0
C1200227736,M348934600,0.3,es_transportation,0
C171345183,M348934600,12.61,es_transportation,0
C139784508,M1823072687,6.18,es_transportation,0
C1568308501,M348934600,27.67,es_transportation,0
C951689990,M348934600,44.8,es_transportation,0
C1944210063,M348934600,27.85,es_transportation,0
C1657925669,M348934600,34.31,es_transportation,0
C1160421902,M857378720,176.32,es_hotelservices,1
C966214713,M857378720,337.41,es_hotelservices,1
C57136184,M348934600,15.99,es_transportation,0
C494777408,M348934600,19.39,es_transportation,0
C1089848865,M348934600,28.32,es_transportation,0
C19820082,M348934600,11.03,es_transportation,0
C1643499361,M1823072687,4.88,es_transportation,0
C956700475,M348934600,29.93,es_transportation,0
C914285365,M348934600,54.17,es_transportation,0
C1341517098,M348934600,18.54,es_transportation,0
C956898918,M348934600,24.44,es_transportation,0
C563130428,M348934600,25.85,es_transportation,0
C1017469037,M348934600,8.06,es_transportation,0
C286547187,M348934600,6.35,es_transportation,0
C1689083890,M85975013,47.44,es_food,0
C966984015,M348934600,38.32,es_transportation,0
C356873706,M1823072687,13.79,es_transportation,0
C1905402681,M348934600,1.51,es_transportation,0
C715527139,M480139044,44.14,es_health,0
C1154631581,M348934600,37.67,es_transportation,0
C1913314890,M348934600,25.3,es_transportation,0
C2110568911,M348934600,57.26,es_transportation,0
C856318696,M348934600,54.22,es_transportation,0
C566232847,M348934600,16.42,es_transportation,0
C1756466427,M348934600,16.47,es_transportation,0
C2026269026,M1198415165,40.31,es_wellnessandbeauty,0
C843090653,M855959430,57.28,es_hyper,0
C475340225,M1823072687,6.01,es_transportation,0
C1102464953,M348934600,6.63,es_transportation,0
C755000520,M348934600,44.27,es_transportation,0
C385721880,M1823072687,2.93,es_transportation,0
C1969430351,M85975013,6.92,es_food,0
C1817318774,M980657600,106.29,es_sportsandtoys,0
C2075935351,M1823072687,21.25,es_transportation,0
C862267590,M348934600,33.28,es_transportation,0
C1799527037,M855959430,19.21,es_hyper,0
C26045684,M348934600,15.34,es_transportation,0
C1803364571,M348934600,27.81,es_transportation,0
C2145933360,M348934600,57.79,es_transportation,0
C126488680,M348934600,11.34,es_transportation,0
C635222317,M348934600,54.83,es_transportation,0
C1070471979,M85975013,44.77,es_food,0
C1854104284,M348934600,29.94,es_transportation,0
C2086664398,M85975013,1.6,es_food,0
C1615671416,M348934600,17.74,es_transportation,0
C1767072624,M348934600,50.91,es_transportation,0
C856674856,M348934600,31.34,es_transportation,0
C1688605578,M348934600,13.09,es_transportation,0
C845102514,M85975013,13.85,es_food,0
C1259760240,M348934600,7.11,es_transportation,0
C723509264,M2122776122,54.59,es_home,0
C918296398,M348934600,10.09,es_transportation,0
C1769401317,M348934600,41.78,es_transportation,0
C1962407385,M348934600,22.11,es_transportation,0
C841616397,M85975013,7.44,es_food,0
C74457300,M348934600,13.16,es_transportation,0
C364273844,M348934600,66.22,es_transportation,0
C1475799889,M348934600,27.57,es_transportation,0
C955592184,M348934600,22.75,es_transportation,0
C1395098424,M348934600,2.55,es_transportation,0
C1104044396,M348934600,48.41,es_transportation,0
C1197304790,M1352454843,90.3,es_hotelservices,0
C532118459,M348934600,37.58,es_transportation,0
C1419235351,M348934600,5.18,es_transportation,0
C395508103,M855959430,18.19,es_hyper,0
C927766810,M348934600,2.74,es_transportation,0
C1081944543,M348934600,32.71,es_transportation,0
C662396672,M348934600,37.73,es_transportation,0
C1741615821,M348934600,16.1,es_transportation,0
C1731249040,M348934600,30.86,es_transportation,0
C743791359,M348934600,2.49,es_transportation,0
C1975714155,M1823072687,46.01,es_transportation,0
C1067134113,M1823072687,16.44,es_transportation,0
C560376591,M348934600,10.99,es_transportation,0
C399875163,M348934600,1.47,es_transportation,0
C1872482068,M348934600,14.89,es_transportation,0
C2084449024,M348934600,25.36,es_transportation,0
C75208519,M348934600,47.45,es_transportation,0
C1040980271,M348934600,9.57,es_transportation,0
C1486017704,M348934600,43.42,es_transportation,0
C671449181,M1198415165,38.48,es_wellnessandbeauty,0
C401828466,M348934600,5.18,es_transportation,0
C484268062,M348934600,23.75,es_transportation,0
C801383032,M151143676,98.44,es_barsandrestaurants,0
C69317479,M1823072687,39.67,es_transportation,0
C745099746,M348934600,53.78,es_transportation,0
C1862384239,M117188757,87.51,es_home,0
C125143024,M348934600,12.03,es_transportation,0
C676229147,M348934600,23.14,es_transportation,0
C1303935849,M348934600,26.04,es_transportation,0
C861479162,M348934600,30.35,es_transportation,0
C534961358,M348934600,28.69,es_transportation,0
C582688427,M348934600,14.13,es_transportation,0
C1532733169,M348934600,2.07,es_transportation,0
C1299474405,M348934600,26.77,es_transportation,0
C164104645,M1823072687,9.7,es_transportation,0
C1090528803,M348934600,34.28,es_transportation,0
C1179217322,M85975013,63.22,es_food,0
C1967337226,M1823072687,26.95,es_transportation,0
C737765767,M840466850,247.76,es_tech,0
C1750362802,M348934600,57.23,es_transportation,0
C338406777,M348934600,37.29,es_transportation,0
C2078039202,M1535107174,33.78,es_wellnessandbeauty,0
C1234264195,M348934600,40.93,es_transportation,0
C1882101149,M348934600,39.26,es_transportation,0
C2125787399,M348934600,17.19,es_transportation,0
C1027777422,M348934600,16.05,es_transportation,0
C723171448,M1823072687,39.06,es_transportation,0
C483009385,M348934600,34.43,es_transportation,0
C175698222,M1823072687,39.74,es_transportation,0
C310751417,M1823072687,37.12,es_transportation,0
C1731138845,M348934600,49.05,es_transportation,0
C488606576,M348934600,47.71,es_transportation,0
C1627004719,M348934600,43.65,es_transportation,0
C521087514,M348934600,9.54,es_transportation,0
C1812702959,M348934600,55.17,es_transportation,0
C1810630647,M1053599405,105.54,es_health,0
C96407618,M348934600,1.74,es_transportation,0
C1965496749,M348934600,4.0,es_transportation,0
C1450140987,M1198415165,220.11,es_wellnessandbeauty,1
C60026962,M1198415165,4.32,es_wellnessandbeauty,1
C476313806,M348934600,12.43,es_transportation,0
C826715503,M348934600,9.96,es_transportation,0
C58324694,M1823072687,25.62,es_transportation,0
C281474709,M348934600,21.7,es_transportation,0
C869954068,M151143676,65.69,es_barsandrestaurants,0
C168191673,M1823072687,60.42,es_transportation,0
C1494829095,M348934600,39.78,es_transportation,0
C1761368684,M348934600,29.18,es_transportation,0
C183270065,M348934600,22.82,es_transportation,0
C747353905,M348934600,3.17,es_transportation,0
C1415998962,M1823072687,26.57,es_transportation,0
C1158738757,M348934600,17.37,es_transportation,0
C1597289593,M348934600,10.2,es_transportation,0
C1340235335,M348934600,37.29,es_transportation,0
C90085212,M348934600,4.14,es_transportation,0
C150273597,M1823072687,23.07,es_transportation,0
C1238755034,M348934600,64.01,es_transportation,0
C245908628,M348934600,22.81,es_transportation,0
C1740004679,M348934600,33.33,es_transportation,0
C320437746,M1823072687,14.7,es_transportation,0
C1960297159,M348934600,0.88,es_transportation,0
C1078619612,M348934600,8.59,es_transportation,0
C1641760998,M348934600,36.18,es_transportation,0
C616528518,M349281107,6.21,es_fashion,0
C300052027,M348934600,43.33,es_transportation,0
C881073190,M1823072687,12.92,es_transportation,0
C213197624,M348934600,19.45,es_transportation,0
C1899748276,M348934600,20.56,es_transportation,0
C1911281701,M348934600,3.84,es_transportation,0
C192974759,M1741626453,1.22,es_sportsandtoys,0
C299858046,M348934600,33.94,es_transportation,0
C885208928,M348934600,28.57,es_transportation,0
C2112563194,M348934600,10.75,es_transportation,0
C1970738826,M348934600,0.34,es_transportation,0
C735039923,M348934600,3.8,es_transportation,0
C1449000407,M348934600,31.02,es_transportation,0
C1681589600,M1823072687,7.56,es_transportation,0
C1598564853,M348934600,20.49,es_transportation,0
C331622323,M1823072687,37.84,es_transportation,0
C1611113200,M348934600,15.35,es_transportation,0
C2027052970,M348934600,29.82,es_transportation,0
C1388933025,M1823072687,65.41,es_transportation,0
C1847111025,M348934600,16.47,es_transportation,0
C1557448880,M348934600,69.95,es_transportation,0
C651594350,M348934600,64.03,es_transportation,0
C205797331,M1823072687,54.21,es_transportation,0
C817389751,M1823072687,49.89,es_transportation,0
C1005126300,M348934600,16.66,es_transportation,0
C1466730207,M547558035,46.45,es_fashion,0
C1685492470,M980657600,278.02,es_sportsandtoys,1
C1275518867,M980657600,69.53,es_sportsandtoys,1
C1314174420,M348934600,2.11,es_transportation,0
C913863966,M348934600,25.74,es_transportation,0
C1396904959,M348934600,9.17,es_transportation,0
C119537158,M348934600,34.73,es_transportation,0
C416536713,M348934600,5.37,es_transportation,0
